original_text,source,pornografi,sara,radikalisme,pencemaran_nama_baik
"[QUOTE=jessepinkman16;5a50ac34d89b093f368b456e]jabar emng propinsi barokah :lehuga[/QUOTE]\n\nWOI, ANJING GOBLOK\nPROPINSI YANG PALING BANYAK NGERUSAK DAN NGEBAKAR GEREJA ITU JATIM, GAK LU SEBUT PROPINSI LUMBUNG NASBUNG TUH JATIM?\nPROPINSI PENGHASIL GEMBONG TERORIS TERBANYAK ITU JATENG, GAK LU SEBUT LUMBUNG NASBUNG TUH JATENG?\nNGARANG STEREOTIP KOK PILIAH PILIH?\nBANGGSAT LU PECUN
",kaskus,0,0,0,1
"@verosvante kita2 aja nitizen yang pada kepo,toh keluarga besar pasti udh pada tau,situ jg kalo urusan nya diurusin orang pasti ngamuk2,ngedumel ""ngasih makan engga sibuk ngurusin urusan gw""yakan?setiap orang pnya cara masng2 buat mensyukuri kebahagiaannya ,ada yg di publis ada yg disimpen yg pntng tujuannya apa!trus kalo soal hijrahnya karna habib ya berarti Allah ngasih jalannya lewat situ,kan jalan hijrah manusia itu msng2 pintunya ,jgn so tau makanya",instagram,0,0,0,0
"""#SidangAhok smg sipenista agama n ateknya matinya tdk wjar n jasadnya tdk dtrma tnh n dia tdk prnh mrs kn sorga,aamiin semoga tuhan setuju""",twitter,0,1,1,1
"@bolususulembang.jkt barusan baca undang2 ini. Tetep dibedakan kok antara presiden dan mantan presiden. Di bagian mantan presiden tidak termasuk pengamanan utk anak dan menantu, melainkan hanya mantan presiden beserta istri/suami saja. Itu boleh masuk sampe situ mungkin krn VIP dimana saya yg rakyat biasa pun bisa. Kroscek lg mas sebelum ngegas 😋",instagram,0,0,0,0
"bikin anak mulu lu nof \nkaga mikir apa kasian anak lu nanti bakalan malu punya bapak kelakuan kaya elu
",kaskus,0,0,0,0
"Itu membuktikan bahwa rakyat Malaysia Anti-Cinak. Indonesia pun juga tp masih malu2. Kita tunggu gerakan anti cina di Indonesia
",kaskus,0,1,0,1
"@BasherRL heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 38",twitter,1,0,0,1
@ongbaotek eh memek diem lo pala lo kaya kontol! Muka lo kaya memek! Dasar gigolo! Punya penyakit kelamin ya lo? Wakkakaka,twitter,1,0,0,0
"Mungkin akibat memakai gorden di pala menghambat aliran oksigen ke otak menyebabkan intelejensia menurun drastis ..\n\nSampe2 liat miskiner kriditan bawa motor aja terpesona, buka hati n buka paha ..
",kaskus,0,0,0,0
"E kaka nona yg paling bodoh dan goblok Manokwari sekarang so jadi ibu kota Propinsi Papua barat Kaka,bodoh jangan dipiara Kaka e",twitter,0,0,0,0
"SWIMWEAR PUNYA MAJIKAN DICOLONG DASAR BABU GA TAU DIRI. CEPET KEMBALIKAN ! 1X24 JAM  GA MINTA MAAF , LO SIAP DIPASUNG !!",instagram,0,0,0,0
